كلمة, PFA,الفئة
وفرة,0.83,فرح
إنهاء,0.396,فرح
الصمت,0.198,فرح
يلتزم,0.198,فرح
عمل,0.397,فرح
مقبول,0.594,فرح
قبول,0.696,فرح
حافز,0.429,فرح
هتاف,0.799,فرح
هتاف,0.799,فرح
مريح,0.83,فرح
تعانق,0.729,فرح
بشكل مريح,0.729,فرح
حافز,0.264,فرح
مجتهد,0.232,فرح
تأقلم,0.331,فرح
مدمن,0.429,فرح
رائع,0.764,فرح
بشكل مثير للإعجاب,0.765,فرح
إعجاب,0.765,فرح
لنعجب,0.731,فرح
ليعترف,0.53,فرح
محبوب,0.898,فرح
بديع,0.865,فرح
عبادة,0.765,فرح
العاشق,0.664,فرح
لأعشق,0.764,فرح
لطيف,0.696,فرح
رغبه قويه,0.764,فرح
عاطفي,0.864,فرح
تتأثر,0.899,فرح
بمودة,0.966,فرح
حنونة,0.932,فرح
حنونة,0.898,فرح
حماسة,0.731,فرح
هواية,0.729,فرح
معجب,0.595,فرح
لحسن الحظ,0.831,فرح
سعيد الحظ,0.932,فرح
لطيف,0.899,فرح
رجاء,0.798,فرح
أن أشكر,0.763,فرح
ممتن,0.764,فرح
حدة,0.331,فرح
شحذ,0.199,فرح
رغبه قويه,0.73,فرح
طفح الكيل,0.564,فرح
جيد التهوية,0.565,فرح
مديح,0.53,فرح
ابتهج,0.899,فرح
الفرح,0.899,فرح
فرح,0.966,فرح
مرح,1,فرح
بسعادة,1,فرح
الفرح,1,فرح
التشجيع,0.73,فرح
يخفف,0.763,فرح
ارتياح,0.763,فرح
لكي تصل,0.364,فرح
الروح,0.397,فرح
متغطرس,0.132,فرح
الإيثار,0.529,فرح
رفع,0.298,فرح
اللطف,0.728,فرح
لطيف,0.762,فرح
يرجى,0.762,فرح
حبيب,0.731,فرح
يحب,0.899,فرح
أحبك,0.966,فرح
احبك,0.731,فرح
محب,0.764,فرح
غرامي,0.832,فرح
طموح,0.429,فرح
طموح,0.363,فرح
الود,0.898,فرح
ودود,0.898,فرح
حبيا,0.864,فرح
صديق,0.898,فرح
صداقة,0.966,فرح
ودود,0.898,فرح
ودود,0.966,فرح
حب,0.966,فرح
بمحبة,0.932,فرح
شغف,0.898,فرح
محب,0.898,فرح
تميمة,0.398,فرح
انا طويل,0.297,فرح
حيوية,0.562,فرح
مفعم بالحيوية,0.865,فرح
التشجيع,0.797,فرح
ابتهج,0.864,فرح
لعبه,0.83,فرح
توقع,0.231,فرح
يسترضى,0.298,فرح
بحماس,0.663,فرح
شغف,0.696,فرح
مثير,0.798,فرح
المرفق,0.597,فرح
يريد بشدة,0.363,فرح
صفق,0.797,فرح
تصفيق,0.763,فرح
لتقدير,0.629,فرح
موافقة,0.596,فرح
يوافق,0.664,فرح
الموافقة,0.732,فرح
ما يزال,0.165,فرح
احتراق,0.33,فرح
احتراق,0.265,فرح
انسجام,0.864,فرح
الإصلاح,0.33,فرح
نشوة الطرب,0.631,فرح
جرأة,0.363,فرح
دهشة,0.396,فرح
جاذبية,0.663,فرح
ملفت للانتباه,0.696,فرح
جذب,0.631,فرح
ملفت للانتباه,0.53,فرح
بشكل جذاب,0.497,فرح
الرضا عن النفس,0.63,فرح
تفويض,0.397,فرح
احترام الذات,0.598,فرح
الرضا عن النفس,0.798,فرح
راضية عن النفس,0.796,فرح
الاكتفاء الذاتي,0.764,فرح
متعطشا,0.198,فرح
وقود,0.33,فرح
فاعل خير,0.562,فرح
الاعمال الخيرية,0.596,فرح
استفاد,0.83,فرح
فائدة,0.729,فرح
فائدة,0.898,فرح
مفيد,0.797,فرح
مفيد,0.864,فرح
مفيد,0.831,فرح
موافقة,0.564,فرح
بإحسان,0.462,فرح
الإحسان,0.462,فرح
خير,0.528,فرح
خير,0.495,فرح
يرجى,0.465,فرح
حميدة,0.465,فرح
حسن,0.798,فرح
الرفاه,0.765,فرح
مبارك,0.831,فرح
غبطة,0.63,فرح
العافية,0.932,فرح
فاعل خير,0.695,فرح
محبوب,0.729,فرح
تريد جيدا,0.762,فرح
بيزبيروندو,0.899,فرح
ناعم,0.198,فرح
نعومة,0.132,فرح
صلاح,0.696,فرح
يرجى,0.696,فرح
طيب القلب,0.763,فرح
bonhomie,0.462,فرح
سباركلي,0.663,فرح
حيوية,0.463,فرح
حية,0.463,فرح
للتنكيت,0.831,فرح
جيد,0.898,فرح
مشاكس,0.664,فرح
صاخبة,0.664,فرح
السخرية,0.364,فرح
يتغلب ببراعة,0.431,فرح
بالضبط,0.264,فرح
الدفء,0.628,فرح
دافئ,0.43,فرح
الحار,0.264,فرح
هدأت,0.231,فرح
الحار,0.099,فرح
بحرارة,0.365,فرح
الصداقة الحميمة,0.63,فرح
سعيدة,0.529,فرح
يأسر,0.43,فرح
إلتقاط,0.099,فرح
يضحك,0.932,فرح
الاعمال الخيرية,0.63,فرح
الحبيبة,0.864,فرح
بمحبة,0.764,فرح
حنونة,0.83,فرح
الخيرية,0.63,فرح
آسر,0.628,فرح
آسر,0.595,فرح
يأسر,0.562,فرح
احتفل,0.933,فرح
حماسة,0.132,فرح
بغيرة,0.066,فرح
غيور,0.033,فرح
يتصرف بحماقة,0.698,فرح
نكتة,0.598,فرح
شوت,0.665,فرح
شوتو,0.564,فرح
الغش,0.629,فرح
الرحمن,0.264,فرح
اللعنة,0.199,فرح
قلب,0.066,فرح
ملء,0.165,فرح
هائلة,0.463,فرح
بشكل مريح,0.629,فرح
راحة,0.662,فرح
مريح,0.695,فرح
الزمالة,0.73,فرح
تعاطف,0.364,فرح
حنون,0.43,فرح
التوافق,0.496,فرح
متوافق,0.462,فرح
متوافق,0.363,فرح
تعويضات,0.331,فرح
الرضا عن النفس,0.629,فرح
رجاء,0.73,فرح
مقبول,0.595,فرح
مسرور,0.864,فرح
استيعاب,0.73,فرح
شاملة,0.562,فرح
الاهتمام,0.066,فرح
احتقر,0.363,فرح
تنازلي,0.396,فرح
توابل,0.099,فرح
تعزية,0.132,فرح
موثوق به,0.297,فرح
التأكيد,0.363,فرح
تؤكد,0.363,فرح
راحة,0.596,فرح
مريح,0.663,فرح
بشكل مريح,0.595,فرح
راحة,0.529,فرح
المعزي,0.496,فرح
لترتاح,0.529,فرح
الزمالة,0.73,فرح
اركب,0.628,فرح
تهنئة,0.594,فرح
تهنئة,0.731,فرح
رثاء,0.066,فرح
نقل,0.165,فرح
غزو,0.463,فرح
إجماع,0.33,فرح
موافقة,0.396,فرح
الاعتبار,0.396,فرح
لاعتبار,0.396,فرح
مواساة,0.397,فرح
دسار,0.331,فرح
راحة,0.397,فرح
راحة,0.43,فرح
بارع,0.364,فرح
أمتن,0.165,فرح
رجاء,0.762,فرح
سعيدة,0.966,فرح
وفرة,0.562,فرح
غزير,0.462,فرح
قلب,0.33,فرح
ودي,0.629,فرح
الود,0.663,فرح
بحرارة,0.729,فرح
مجاملة,0.695,فرح
دغدغة,0.764,فرح
دغدغة,0.764,فرح
التقدم في العمر,0.53,فرح
يراعي,0.33,فرح
الذروة,0.398,فرح
عبادة,0.264,فرح
إطراء,0.529,فرح
أملأ,0.364,فرح
الامتثال,0.496,فرح
ديكور,0.363,فرح
لتكريس,0.462,فرح
احترام,0.495,فرح
بهجة,0.796,فرح
ابتهج نفسك,0.695,فرح
رقة,0.264,فرح
دقيق او حساس,0.165,فرح
بهجة,0.663,فرح
الجبر,0.231,فرح
ارتياح,0.363,فرح
أتمنى,0.396,فرح
لعب,0.463,فرح
أداء,0.529,فرح
سهولة,0.264,فرح
راغب,0.398,فرح
استيقظ,0.297,فرح
استيقظ,0.198,فرح
لا مبالاة,0.563,فرح
التفاني,0.497,فرح
المحب,0.463,فرح
النعيم,0.731,فرح
بسعادة,0.764,فرح
سعيدة,0.832,فرح
كرامة,0.462,فرح
تمدد,0.563,فرح
استمتع,0.83,فرح
التمتع,0.898,فرح
بتسلية,0.966,فرح
بفرح شديد,1,فرح
مضحك,1,فرح
سلى,0.966,فرح
يقدس,0.363,فرح
إلهي,0.563,فرح
نعمة او وقت سماح,0.396,فرح
حلو,0.562,فرح
العذوبة,0.663,فرح
بنيان,0.497,فرح
بناء,0.363,فرح
التدفق,0.497,فرح
بشكل مفرط,0.73,فرح
انبجاسي,0.764,فرح
مثال,0.231,فرح
خيار,0.264,فرح
أنيق,0.231,فرح
رفع,0.165,فرح
مديح,0.463,فرح
تشرب,0.596,فرح
يسحر,0.596,فرح
سحر,0.497,فرح
البله,0.298,فرح
يسكر,0.562,فرح
سمم,0.562,فرح
يغيظ,0.595,فرح
سحر,0.132,فرح
سحر,0.099,فرح
المشاعر,0.798,فرح
مثير,0.831,فرح
التشويق,0.831,فرح
عاطفي,0.763,فرح
التعاطف مع,0.462,فرح
متعاطف,0.396,فرح
مسعى,0.396,فرح
ارتقى,0.496,فرح
الافتتان,0.864,فرح
اقع في الحب,0.831,فرح
تهدئة,0.198,فرح
سحر,0.495,فرح
ساحر,0.695,فرح
سحر,0.562,فرح
مديح,0.529,فرح
يؤله,0.396,فرح
طاقة,0.496,فرح
تكبير,0.53,فرح
عظم,0.463,فرح
افخر,0.797,فرح
الرقة والحنان,0.564,فرح
أحشاء,0.099,فرح
محبب,0.298,فرح
أدخل,0.165,فرح
ايصال,0.231,فرح
متحمس,0.864,فرح
حمس,0.83,فرح
الحماس,0.864,فرح
متحمس,0.864,فرح
شهواني,0.529,فرح
مذهل,0.563,فرح
أمل,0.495,فرح
متفائل,0.496,فرح
رائع,0.696,فرح
تقدير,0.629,فرح
تنشيط,0.497,فرح
لتحفيز,0.496,فرح
هزة,0.495,فرح
عظيم,0.864,فرح
النشوة,0.663,فرح
البهيجة,0.663,فرح
البهيجة,0.663,فرح
تمجيد,0.563,فرح
ممتاز,0.763,فرح
مثير,0.864,فرح
إثارة,0.764,فرح
حض,0.165,فرح
نجاح,0.864,فرح
توسعية,0.363,فرح
توقع,0.264,فرح
توقع,0.297,فرح
انفجار,0.198,فرح
التعبير,0.297,فرح
شاطح,0.796,فرح
مدخل,0.762,فرح
شامل,0.099,فرح
غزير,0.396,فرح
بغزارة,0.363,فرح
ابتهج,0.796,فرح
أسرة,0.529,فرح
معرفة,0.629,فرح
خيال,0.596,فرح
سحر,0.898,فرح
منبهر,0.898,فرح
رائعة,0.932,فرح
فتن,0.731,فرح
مولع ب,0.265,فرح
مسرف,0.363,فرح
روعة,0.363,فرح
محاباة,0.33,فرح
ملائم,0.596,فرح
بشكل إيجابي,0.563,فرح
تصبح,0.562,فرح
تفضيل,0.562,فرح
السعادة,1,فرح
لنهنئ,0.831,فرح
سعيدة,0.966,فرح
بسعادة,0.966,فرح
خصبة,0.33,فرح
حماسة,0.597,فرح
متحمس,0.564,فرح
احتفالي,0.729,فرح
صنم,0.265,فرح
الأساسية,0,فرح
الاخلاص,0.43,فرح
حمى,0.132,فرح
مخلص,0.463,فرح
حفل,0.83,فرح
يعلق,0.132,فرح
محب الخير,0.463,فرح
نهائي,0.198,فرح
غرامة,0.198,فرح
سهم,0.297,فرح
ليزدهر,0.595,فرح
النيران,0.561,فرح
الأخوة,0.595,فرح
تآخى,0.529,فرح
غضب شديد,0.496,فرح
غلا,0.297,فرح
يفوز,0.463,فرح
يفوز,0.764,فرح
سخاء,0.628,فرح
كريم - سخي,0.628,فرح
عظيم,0.864,فرح
مجد,0.797,فرح
مجد,0.562,فرح
مجد,0.529,فرح
الفرح,0.763,فرح
استمتع,0.831,فرح
الفرح,0.831,فرح
بفرح,0.765,فرح
بهيجة,0.798,فرح
نعمة او وقت سماح,0.597,فرح
مضحك,0.83,فرح
كبير,0.396,فرح
عظيم,0.564,فرح
مرضية,0.664,فرح
مرضية,0.697,فرح
جائزة او مكافاة,0.598,فرح
مجانا,0.563,فرح
أهلا بك,0.663,فرح
مزاح,0.429,فرح
مثل,0.596,فرح
المذاق,0.629,فرح
سعيدة,0.762,فرح
أكثر تسطحا,0.563,فرح
الإغراء,0.396,فرح
اشبع,0.033,فرح
سحر,0.231,فرح
تهجئه,0.198,فرح
أخوة,0.561,فرح
مضحك جدا,0.63,فرح
بفرح شديد,0.597,فرح
مرح,0.664,فرح
نوم مغناطيسيا,0.165,فرح
تثاقل,0.265,فرح
مشرف,0.53,فرح
شرف,0.396,فرح
بشرف,0.429,فرح
مضياف,0.563,فرح
حسن الضيافة,0.629,فرح
إنسانية,0.33,فرح
الإنسانية,0.264,فرح
دعابة,0.73,فرح
تحديد,0.132,فرح
الشاعرة,0.396,فرح
نأمل,0.462,فرح
إثارة,0.495,فرح
تأثير,0.363,فرح
قوة الدفع,0.529,فرح
اندفاع,0.463,فرح
اعجاب,0.397,فرح
تعزيز,0.363,فرح
ميل,0.099,فرح
خلد,0.198,فرح
إلهام,0.53,فرح
فائدة,0.33,فرح
مسكر,0.066,فرح
جاكاريرو,0.664,فرح
الصخب,0.365,فرح
مزوح,0.564,فرح
نكتة,0.763,فرح
مرحا,0.73,فرح
الفرح,0.83,فرح
بفرح,0.73,فرح
مبتهج,0.731,فرح
فورة,0.531,فرح
جدير بالثناء,0.363,فرح
مخلص,0.463,فرح
وفاء,0.463,فرح
ببطء,0.731,فرح
لينيفي,0.265,فرح
لينيز,0.199,فرح
استيقظ,0.198,فرح
مجانا,0.696,فرح
الإغراء,0.73,فرح
أملأ,0.33,فرح
جدير بالثناء,0.33,فرح
التوصل,0.663,فرح
الربح,0.198,فرح
ماكانودو,0.528,فرح
سحر,0.561,فرح
مغنط,0.132,فرح
رائع,0.798,فرح
عظيم,0.365,فرح
لطيف,0.429,فرح
يتساءل,0.729,فرح
بشكل رائع,0.729,فرح
ليصبح أفضل,0.529,فرح
يانع,0.396,فرح
يبحث,0.231,فرح
نظرة,0.165,فرح
رحمة,0.198,فرح
لتخفيف,0.165,فرح
طري,0.099,فرح
لتحفيز,0.597,فرح
نقل,0.099,فرح
عرض,0.165,فرح
أوبيمو,0.396,فرح
شاذ,0.396,فرح
فخر,0.596,فرح
بفخر,0.697,فرح
فخور,0.531,فرح
تصفيق,0.796,فرح
هتاف,0.663,فرح
تهدئة,0.332,فرح
تذوق,0.33,فرح
باطن اليد,0.496,فرح
حفل,0.628,فرح
شغف,0.763,فرح
سلام,0.63,فرح
تقي,0.363,فرح
تقوى,0.297,فرح
ممتع,0.796,فرح
بكل سرور,0.864,فرح
إجلال أو بيعة أو احترام,0.199,فرح
تفضيل,0.397,فرح
امتياز,0.231,فرح
الحفاظ على,0.165,فرح
لاظهار,0.264,فرح
توقع,0.264,فرح
شرف,0.463,فرح
محاولة,0.198,فرح
الوفرة,0.198,فرح
استرضاء,0.264,فرح
الميمون,0.33,فرح
مزدهر,0.762,فرح
بشكل وقائي,0.231,فرح
لتحمي,0.231,فرح
مميزات,0.463,فرح
مفيد,0.53,فرح
محظوظ,0.231,فرح
قوة,0.165,فرح
تريد,0.63,فرح
سكون,0.198,فرح
كويلوترار,0.363,فرح
مشع,0.53,فرح
تصدق,0.132,فرح
ادراك,0.364,فرح
نفذ,0.231,فرح
تجميع,0.132,فرح
تذكر,0.132,فرح
يوصي,0.297,فرح
جائزة او مكافاة,0.629,فرح
مطمئن,0.797,فرح
راحة,0.696,فرح
إعادة,0.497,فرح
سلى,0.563,فرح
حاضر,0.764,فرح
بابتهاج,0.763,فرح
نبتهج,0.696,فرح
الفرح,0.764,فرح
فرح,0.43,فرح
فرح,0.363,فرح
يضحك,0.798,فرح
لعق,0.396,فرح
يصلح,0.198,فرح
لعب,0.264,فرح
احترام,0.531,فرح
احترام,0.497,فرح
محترم,0.531,فرح
توهج,0.598,فرح
تقديس,0.364,فرح
يضحك,0.932,فرح
يبتسم,0.932,فرح
رومانسي,0.63,فرح
لتعرف,0.297,فرح
تذوق,0.43,فرح
اشبع,0.464,فرح
تخمة,0.464,فرح
ساندونجا,0.629,فرح
رضا,0.864,فرح
رضا,0.83,فرح
مرضيه,0.763,فرح
بشكل مرضي,0.831,فرح
مرض,0.831,فرح
راض,0.864,فرح
الإغواء,0.529,فرح
إغواء,0.496,فرح
الإغراء,0.596,فرح
متاكد,0.465,فرح
تحديد,0.364,فرح
هادئ,0.231,فرح
هادئ,0.198,فرح
"تعاطف، عطف",0.797,فرح
لطيف,0.83,فرح
تتعاطف,0.83,فرح
صادق,0.397,فرح
رائع,0.165,فرح
مرن,0.53,فرح
العزاء,0.198,فرح
تهدئة,0.264,فرح
تضامن,0.464,فرح
يبتسم,0.966,فرح
فرز,0.264,فرح
يسترضى,0.264,فرح
ناعم,0.231,فرح
نعومة,0.231,فرح
قهر,0.099,فرح
وفرة,0.564,فرح
غزير,0.63,فرح
تسريح,0.099,فرح
الرقة والحنان,0.397,فرح
الرقة والحنان,0.529,فرح
عناد,0.132,فرح
بلطف,0.53,فرح
مناقصة,0.53,فرح
طمأن,0.364,فرح
هادئ,0.397,فرح
المواصلات,0.199,فرح
لين العريكة,0.297,فرح
الفائز,0.796,فرح
انتصار,0.796,فرح
منتصرا,0.728,فرح
منتصر,0.796,فرح
منتصرا,0.796,فرح
ينجح,0.83,فرح
انتصار,0.864,فرح
بديهي,0.298,فرح
ممتاز,0.165,فرح
بفخر,0.132,فرح
التباهي,0.099,فرح
فخور,0.132,فرح
وضع اللمسات الأخيرة,0.165,فرح
مسحة,0.231,فرح
اتحاد,0.297,فرح
مفيد,0.429,فرح
يستحق,0.43,فرح
تأثير,0.331,فرح
تقييم,0.497,فرح
عنف,0.331,فرح
عنيف,0.331,فرح
المنتصر,0.696,فرح
تبجيل,0.496,فرح
تبجيل,0.463,فرح
بشكل مفيد,0.297,فرح
مفيد,0.33,فرح
بسعادة,0.53,فرح
سعيدة,0.63,فرح
يفوز,0.563,فرح
فوز,0.763,فرح
منتصرا,0.797,فرح
قوة,0.497,فرح
فيتور,0.297,فرح
يشجع,0.297,فرح
مرح,0.563,فرح
حيوية,0.629,فرح
تنشيط,0.563,فرح
حي,0.63,فرح
بغيضة,0.53,غضب
"رجس - مقت شديد، عمل بغيض",0.464,غضب
يبغض,0.696,غضب
اكرهه,0.798,غضب
مقيت,0.729,غضب
بغيضة,0.629,غضب
اشمئزاز,0.663,غضب
لسوء المعاملة,0.463,غضب
التسرع,0.463,غضب
تتعهد,0.497,غضب
مهاجم,0.464,غضب
سرعه,0.431,غضب
عدوانية,0.397,غضب
تنمر,0.465,غضب
لغز,0.666,غضب
حدة,0.363,غضب
حدة,0.33,غضب
الخصم,0.363,غضب
"يفهم، يمسك، يقبض",0.265,غضب
إهانة,0.53,غضب
إختطاف,0.231,غضب
طغى,0.297,غضب
عبء,0.231,غضب
التفاقم,0.397,غضب
المشددة,0.463,غضب
تزيد من حدة,0.43,غضب
خطأ,0.597,غضب
التظلم,0.43,غضب
عدوانية,0.831,غضب
عدوانية,0.865,غضب
المعتدي,0.83,غضب
حامض,0.497,غضب
بغضب,0.596,غضب
الغضب,0.563,غضب
للغضب,0.663,غضب
خيانة,0.396,غضب
المتغطرسة,0.264,غضب
متغطرس,0.33,غضب
مرارة,0.363,غضب
مرارة - مر,0.165,غضب
مرارة,0.132,غضب
أموهينار,0.599,غضب
تجمهر,0.397,غضب
إنتقاد معاد,0.497,غضب
ابتهج,0.099,غضب
العداء,0.132,غضب
عدائي,0.199,غضب
عداوة,0.364,غضب
كراهية,0.662,غضب
غير ودي,0.695,غضب
يتحسر,0.495,غضب
انتزاع,0.63,غضب
نشوة الطرب,0.497,غضب
يرمي,0.496,غضب
منال,0.165,غضب
يحاصر,0.364,غضب
خشونة,0.298,غضب
أسوران,0.398,غضب
هجوم,0.832,غضب
هجوم,0.899,غضب
تحريك,0.465,غضب
عذاب,0.664,غضب
مضايقة,0.563,غضب
أترابلياري,0.664,غضب
فظاعة,0.331,غضب
يتخطى,0.398,غضب
يتخطى,0.397,غضب
فظيع,0.697,غضب
نكد,0.398,غضب
حافز,0.264,غضب
تغلب,0.365,غضب
البربرية,0.364,غضب
معركة,0.463,غضب
العدوانية,0.53,غضب
عدواني,0.53,غضب
محارب,0.396,غضب
نوبة غضب,0.629,غضب
الصفراء,0.532,غضب
بوشينشي,0.363,غضب
أحسنت,0.563,غضب
شخير,0.532,غضب
التبول,0.597,غضب
مزعج,0.363,غضب
الغيرة,0.63,غضب
جبر,0.232,غضب
خلل برمجي,0.396,غضب
السخرية,0.298,غضب
عشبة ضارة,0.463,غضب
cocolía,0.53,غضب
الغضب,0.73,غضب
بغضب,0.83,غضب
كولي,0.762,غضب
تجنب,0.363,غضب
يعارض,0.463,غضب
إزعاج,0.331,غضب
تشنج,0.198,غضب
شجاعة,0.899,غضب
شجاع,0.831,غضب
تآكل,0.297,غضب
تويتش,0.43,غضب
صلب,0.198,غضب
مشروع قانون,0,غضب
خيبة الامل,0.33,غضب
يخيب,0.297,غضب
دقيق او حساس,0.066,غضب
مجنون,0.364,غضب
شيطان,0.497,غضب
يحط من قدر,0.496,غضب
التحدي,0.132,غضب
غير سارة,0.53,غضب
استياء,0.628,غضب
الاشمئزاز,0.595,غضب
ازدراء,0.53,غضب
ازدراء,0.53,غضب
رفض,0.463,غضب
القلق,0.231,غضب
عصب,0.563,غضب
أثار الاستياء,0.562,غضب
استياء,0.629,غضب
ازدراء,0.463,غضب
ازدراء,0.397,غضب
مرغوب فيه,0.099,غضب
أتمنى,0.033,غضب
مجن,0.496,غضب
الغضب,0.529,غضب
اضطراب,0.496,غضب
رغم,0.662,غضب
استياء,0.595,غضب
يحتقر,0.696,غضب
ازدراء,0.696,غضب
مجن,0.83,غضب
أقلق,0.898,غضب
وميض,0.397,غضب
هذيان,0.231,غضب
مقيت,0.73,غضب
مقيت,0.662,غضب
الكراهية,0.595,غضب
يكرهون,0.663,غضب
تبا,0.432,غضب
الخلاف,0.562,غضب
تناقض تعارض تضارب,0.33,غضب
الاشمئزاز,0.729,غضب
لم يعجبنى,0.762,غضب
استياء,0.463,غضب
خلاف,0.763,غضب
ضار,0.397,غضب
الشحنة,0.564,غضب
غضب,0.731,غضب
الترباس,0.764,غضب
السم,0.665,غضب
